C:\Users\Karl\Google Drive\Doutorado\Reologia\2018 - Oscilatórios Aprofundados\rwd\2018 01 03\Agua3 Conj   13.38.27 2018-03-01.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 01.03.2018 / 12:36:03 / HAAKE RheoWin 4.63.0003
Substance / Sample no: Agua3 Conj / 

;GP / 1/s;Eta / Pas;omega / rad/s;G' / Pa;G'' / Pa;T / °C;Tau / Pa;
1|1; ; ;6,283;48,42;3,845;25,00;0,01067;
1|2; ; ;6,283;46,68;3,487;25,00;0,01484;
1|3; ; ;6,283;46,35;3,526;25,00;0,02059;
1|4; ; ;6,283;47,07;3,967;25,00;0,02852;
1|5; ; ;6,283;46,82;3,751;25,00;0,03958;
1|6; ; ;6,283;47,14;3,350;25,00;0,05487;
1|7; ; ;6,283;48,32;3,731;25,00;0,07596;
1|8; ; ;6,283;49,11;3,650;25,00;0,1052;
1|9; ; ;6,283;50,35;3,819;25,01;0,1457;
1|10; ; ;6,283;51,16;3,809;25,01;0,2019;
1|11; ; ;6,283;51,68;4,031;25,01;0,2798;
1|12; ; ;6,283;51,47;4,048;25,01;0,3882;
1|13; ; ;6,283;51,42;3,947;25,01;0,5384;
1|14; ; ;6,283;51,72;3,923;25,02;0,7465;
1|15; ; ;6,283;51,67;3,969;25,02;1,035;
1|16; ; ;6,283;51,70;4,167;25,02;1,436;
1|17; ; ;6,283;52,25;4,001;25,03;1,990;
1|18; ; ;6,283;51,83;3,996;25,03;2,762;
1|19; ; ;6,283;51,91;4,045;25,04;3,830;
1|20; ; ;6,283;51,75;3,970;25,04;5,313;
2|1; ; ;0,06283;1,495;8,571;24,92;1,0000;
2|2; ; ;0,08115;2,273;10,30;25,08;1,0000;
2|3; ; ;0,1048;3,949;13,62;24,85;1,0000;
2|4; ; ;0,1354;6,391;16,61;24,98;1,0000;
2|5; ; ;0,1748;8,365;18,55;25,19;1,0000;
2|6; ; ;0,2258;11,02;20,90;25,46;1,0000;
2|7; ; ;0,2916;23,11;25,03;24,27;1,000;
2|8; ; ;0,3767;30,11;24,59;24,26;1,000;
2|9; ; ;0,4865;33,83;23,74;24,87;1,000;
2|10; ; ;0,6283;37,75;22,11;24,99;1,000;
2|11; ; ;0,8115;41,80;19,57;25,00;1,001;
2|12; ; ;1,048;44,86;16,65;25,00;1,001;
2|13; ; ;1,354;47,09;13,75;25,00;1,003;
2|14; ; ;1,748;48,90;11,29;25,00;1,004;
2|15; ; ;2,258;50,17;9,193;25,01;1,007;
2|16; ; ;2,916;50,70;7,437;25,02;1,013;
2|17; ; ;3,767;51,24;6,137;25,03;1,021;
2|18; ; ;4,865;51,06;4,851;25,04;1,037;
2|19; ; ;6,283;51,84;4,063;25,05;1,062;
2|20; ; ;8,115;51,89;3,557;25,07;1,109;
2|21; ; ;10,48;52,18;2,932;25,09;1,196;
2|22; ; ;13,54;52,23;2,453;25,12;1,378;
2|23; ; ;17,48;51,83;2,258;25,15;1,858;
2|24; ; ;22,58;52,67;2,333;25,18;4,121;
2|25; ; ;29,16;51,18;2,446;25,23;3,177;
2|26; ; ;37,67;57,16;4,983;25,27;1,041;
2|27; ; ;48,65;45,35;15,01;25,32;0,4474;
2|28; ; ;62,83;105,2;5,841;25,38;0,7363;
3|1;0,0001008;108,4; ; ; ;26,09;0,01093;
3|2;0,0001372;111,9; ; ; ;26,36;0,01535;
3|3;0,0001869;104,7; ; ; ;25,86;0,01958;
3|4;0,0002541;119,8; ; ; ;25,05;0,03044;
3|5;0,0003487;136,1; ; ; ;24,78;0,04747;
3|6;0,0004764;159,2; ; ; ;24,33;0,07584;
3|7;0,0006505;168,6; ; ; ;24,07;0,1097;
3|8;0,0009022;169,8; ; ; ;24,01;0,1532;
3|9;0,001215;172,5; ; ; ;24,42;0,2096;
3|10;0,001682;156,4; ; ; ;24,79;0,2632;
3|11;0,002274;148,1; ; ; ;24,96;0,3367;
3|12;0,003135;143,5; ; ; ;25,00;0,4499;
3|13;0,004242;141,7; ; ; ;25,00;0,6010;
3|14;0,005876;140,8; ; ; ;25,00;0,8272;
3|15;0,007989;138,6; ; ; ;25,01;1,108;
3|16;0,01092;135,0; ; ; ;25,07;1,475;
3|17;0,01498;129,1; ; ; ;25,24;1,934;
3|18;0,02049;120,5; ; ; ;25,69;2,469;
3|19;0,02804;110,1; ; ; ;26,32;3,087;
3|20;0,03827;106,3; ; ; ;26,18;4,067;
3|21;0,05216;118,1; ; ; ;25,29;6,162;
3|22;0,07128;136,3; ; ; ;24,95;9,716;
3|23;0,09751;149,7; ; ; ;24,54;14,60;
3|24;0,1334;153,3; ; ; ;24,22;20,45;
3|25;0,1826;147,4; ; ; ;24,11;26,92;
3|26;0,2497;134,4; ; ; ;24,18;33,57;
3|27;0,3418;114,8; ; ; ;24,60;39,24;
3|28;0,4675;93,62; ; ; ;24,88;43,77;
3|29;0,6392;74,28; ; ; ;24,98;47,48;
3|30;0,8742;56,82; ; ; ;25,00;49,67;
3|31;1,196;42,10; ; ; ;25,00;50,33;
3|32;1,635;30,69; ; ; ;25,01;50,19;
3|33;2,236;22,34; ; ; ;25,06;49,94;
3|34;3,058;16,44; ; ; ;25,21;50,27;
3|35;4,185;12,05; ; ; ;25,62;50,42;
3|36;5,727;8,986; ; ; ;26,32;51,46;
3|37;7,831;6,695; ; ; ;26,31;52,43;
3|38;10,70;5,201; ; ; ;25,42;55,64;
3|39;14,62;3,738; ; ; ;24,96;54,64;
3|40;19,97;2,015; ; ; ;24,52;40,24;
