GP;Eta;T;Tau
0,0001008;108,4;26,09;0,01093
0,0001372;111,9;26,36;0,01535
0,0001869;104,7;25,86;0,01958
0,0002541;119,8;25,05;0,03044
0,0003487;136,1;24,78;0,04747
0,0004764;159,2;24,33;0,07584
0,0006505;168,6;24,07;0,1097
0,0009022;169,8;24,01;0,1532
0,001215;172,5;24,42;0,2096
0,001682;156,4;24,79;0,2632
0,002274;148,1;24,96;0,3367
0,003135;143,5;25,0;0,4499
0,004242;141,7;25,0;0,601
0,005876;140,8;25,0;0,8272
0,007989;138,6;25,01;1,1079999999999999
0,01092;135,0;25,07;1,475
0,01498;129,1;25,24;1,9340000000000002
0,02049;120,5;25,69;2,469
0,02804;110,1;26,32;3,0869999999999997
0,03827;106,3;26,18;4,067
0,05216;118,1;25,29;6,162000000000001
0,07128;136,3;24,95;9,716000000000001
0,09751;149,7;24,54;14,6
0,1334;153,3;24,22;20,45
0,1826;147,4;24,11;26,92
0,2497;134,4;24,18;33,57
0,3418;114,8;24,6;39,24
0,4675;93,62;24,88;43,77
0,6392;74,28;24,98;47,48
0,8742;56,82;25,0;49,67
1,196;42,10;25,0;50,33
1,635;30,69;25,01;50,19
2,236;22,34;25,06;49,94
3,058;16,44;25,21;50,27
4,185;12,05;25,62;50,42
5,727;8,986;26,32;51,46
7,831;6,695;26,31;52,43
10,70;5,201;25,42;55,64
14,62;3,738;24,96;54,64
19,97;2,015;24,52;40,24
