GP;Eta;T;Tau
0,0000998;32,8;25,3;0,0032700000000000003
0,000136;27,0;25,3;0,0036899999999999997
0,000187;24,3;25,3;0,004529999999999999
0,000257;22,5;25,3;0,00577
0,000350;20,8;25,3;0,00728
0,000478;19,9;25,3;0,00949
0,000653;18,8;25,3;0,0123
0,000896;17,9;25,3;0,016
0,00123;17,2;25,3;0,0211
0,00167;17,0;25,3;0,0284
0,00229;15,8;25,3;0,0361
0,00313;16,4;25,3;0,0512
0,00428;15,9;25,3;0,0681
0,00585;15,4;25,3;0,0901
0,00799;15,4;25,3;0,12300000000000001
0,0109;15,4;25,3;0,16899999999999998
0,0150;15,4;25,3;0,231
0,0204;15,4;25,3;0,315
0,0280;15,4;25,3;0,43
0,0382;15,4;25,3;0,59
0,0523;15,4;25,3;0,807
0,0715;15,4;25,3;1,1
0,0978;15,4;25,3;1,51
0,134;15,4;25,3;2,06
0,183;15,4;25,3;2,81
0,250;15,4;25,3;3,84
0,342;15,3;25,3;5,24
0,468;15,3;25,3;7,14
0,639;15,2;25,3;9,69
0,874;15,0;25,3;13,1
1,20;14,7;25,3;17,6
1,63;14,4;25,2;23,6
2,24;13,9;25,1;31,0
3,06;12,9;25,0;39,5
4,18;11,6;25,0;48,4
5,72;9,93;25,0;56,7
7,82;8,01;25,0;62,6
10,7;6,09;25,0;65,1
14,6;4,51;25,0;65,9
20,0;3,35;25,0;67,0
