GP;Eta;T;Tau
0,0001000;25,26;25,0;0,002526
0,0001372;30,02;25,0;0,004121
0,0001871;35,42;25,0;0,006628
0,0002557;44,10;25,0;0,01128
0,0003486;43,40;25,0;0,015130000000000001
0,0004768;42,89;25,0;0,02045
0,0006524;43,55;25,0;0,02841
0,0008916;44,99;25,0;0,04011
0,001224;44,88;25,0;0,05491
0,001665;48,04;25,0;0,08
0,002293;47,37;25,0;0,1086
0,003111;47,98;25,0;0,1493
0,004291;48,79;25,0;0,2094
0,005831;48,49;25,0;0,2827
0,008004;48,75;25,0;0,3902
0,01095;48,95;25,0;0,536
0,01496;49,27;25,0;0,737
0,02046;49,45;25,0;1,012
0,02797;49,62;25,0;1,3880000000000001
0,03823;49,74;25,0;1,902
0,05230;49,55;25,0;2,592
0,07151;49,72;25,0;3,556
0,09779;49,36;25,0;4,827
0,1337;49,37;25,0;6,602
0,1829;49,07;25,0;8,974
0,2501;48,62;25,0;12,16
0,3420;47,91;25,0;16,39
0,4677;46,55;25,0;21,77
0,6395;44,49;25,0;28,45
0,8745;41,36;25,0;36,17
1,196;35,50;25,0;42,46
1,636;28,13;25,0;46,02
2,237;19,55;25,0;43,74
3,059;12,87;25,0;39,37
4,182;9,661;25,0;40,4
5,719;6,857;25,0;39,22
7,821;4,725;25,0;36,96
10,69;3,280;25,0;35,07
14,62;2,492;25,0;36,45
20,00;1,754;25,0;35,08
