G'';Tau;G';omega;T
18,66;1,0;12,95;0,006283;24,99
20,17;1,0;16,09;0,007406;24,99
21,01;1,0;18,76;0,008730;24,97
21,74;1,0;22,09;0,01029;25,0
22,27;1,0;25,90;0,01213;25,0
21,90;1,0;29,32;0,01430;24,98
21,57;1,0;32,11;0,01686;24,97
20,45;1,0;35,52;0,01987;24,98
19,52;1,0;38,13;0,02342;25,0
17,98;1,0;40,94;0,02761;24,99
16,71;1,0;42,91;0,03254;24,99
15,13;1,0;44,50;0,03836;24,99
13,86;1,0;46,45;0,04522;25,01
12,19;1,0;47,64;0,05330;25,0
10,68;1,0;48,92;0,06283;24,98
9,489;1,0;49,36;0,07406;25,0
8,147;1,0;50,01;0,08730;24,97
7,236;1,0;50,66;0,1029;25,0
6,432;1,0;51,22;0,1213;25,03
5,261;1,0;51,52;0,1430;24,94
4,723;1,0;51,78;0,1686;25,0
4,108;1,0;51,92;0,1987;25,0
3,615;1,0;52,14;0,2342;25,01
3,213;1,0;52,31;0,2761;25,05
2,787;1,0;52,45;0,3254;25,02
2,265;1,0;52,49;0,3836;24,86
2,018;1,0;52,61;0,4522;24,95
1,826;1,0;52,68;0,5330;25,0
1,627;1,0;52,72;0,6283;25,0
1,430;1,001;52,81;0,7406;25,0
1,296;1,001;52,86;0,8730;25,0
1,137;1,001;52,93;1,029;25,0
1,040;1,002;53,10;1,213;25,0
0,9538;1,003;52,98;1,430;25,0
0,8839;1,004;53,14;1,686;25,0
0,8135;1,006;53,13;1,987;25,0
0,7952;1,008;52,97;2,342;25,0
0,7131;1,011;53,50;2,761;25,0
0,7682;1,016;53,13;3,254;25,0
0,7476;1,021;53,95;3,836;25,0
0,8045;1,03;54,13;4,522;25,0
1,149;1,044;52,68;5,330;25,0
0,9749;1,061;53,29;6,283;25,0
0,9212;1,087;53,49;7,406;25,0
0,8928;1,125;53,58;8,730;25,0
1,125;1,183;53,59;10,29;25,0
0,5149;1,278;53,01;12,13;25,0
0,7891;1,42;54,24;14,30;25,0
1,167;1,681;55,14;16,86;25,0
0,4260;2,394;53,39;19,87;25,0
0,3425;5,106;53,78;23,42;25,0
1,763;7,207999999999999;53,10;27,61;25,0
7,465;2,6439999999999997;61,57;32,54;25,0
1,788;0,9628;56,86;38,36;25,0
19,53;1,129;85,70;45,22;25,0
8,577;1,057;114,1;53,30;25,0
12,74;0,3832;39,05;62,83;25,0
