G'';Tau;G';omega;T
0,970;1,0;0,0164;0,0628;25,1
1,25;1,0;0,0275;0,0811;25,2
1,61;1,0;0,0460;0,105;25,2
2,08;1,0;0,0769;0,135;25,2
2,68;1,0;0,128;0,175;25,2
3,46;1,0;0,212;0,226;25,2
4,45;1,0;0,351;0,292;25,3
5,71;1,0;0,580;0,377;25,3
7,33;1,0;0,956;0,486;25,3
9,35;1,0;1,57;0,628;25,3
11,9;1,0;2,56;0,811;25,3
14,9;1,0;4,13;1,05;25,3
18,3;1,0;6,54;1,35;25,3
21,9;1,0;10,1;1,75;25,3
25,4;1,01;15,0;2,26;25,3
27,9;1,01;21,1;2,92;25,3
29,1;1,02;28,2;3,77;25,3
28,6;1,03;35,3;4,86;25,3
26,5;1,05;41,6;6,28;25,3
23,6;1,09;46,6;8,11;25,3
20,7;1,17;50,6;10,5;25,3
17,8;1,31;53,3;13,5;25,3
15,5;1,65;55,2;17,5;25,3
13,8;2,71;56,7;22,6;25,3
12,5;3,69;57,9;29,2;25,3
11,9;1,11;59,6;37,7;25,3
12,6;0,978;60,5;48,6;25,3
6,81;0,861;56,1;62,8;25,3
