G'';Tau;G';omega;T
0,2716;1,0;0,001181;0,006283;25,0
0,3563;1,0;0,001904;0,008115;25,0
0,4685;1,0;0,003474;0,01048;25,0
0,6151;1,0;0,006206;0,01354;25,0
0,8058;1,0;0,01078;0,01748;25,0
1,053;1,0;0,01862;0,02258;25,0
1,373;1,0;0,03198;0,02916;25,0
1,788;1,0;0,05451;0,03767;25,0
2,322;1,0;0,09102;0,04865;25,0
3,010;1,0;0,1537;0,06283;25,0
3,896;1,0;0,2564;0,08115;25,0
5,033;1,0;0,4275;0,1048;25,0
6,480;1,0;0,7073;0,1354;25,0
8,342;1,0;1,174;0,1748;25,0
10,62;1,0;1,921;0,2258;25,0
13,45;1,0;3,140;0,2916;25,0
16,79;1,0;5,042;0,3767;25,0
20,58;1,0;7,974;0,4865;25,0
24,41;1,0;12,14;0,6283;25,0
27,78;1,001;17,82;0,8115;25,0
30,19;1,001;24,84;1,048;25,0
30,73;1,002;32,57;1,354;25,0
29,51;1,003;39,84;1,748;25,0
26,88;1,006;46,26;2,258;25,0
23,66;1,01;51,70;2,916;25,0
19,78;1,018;55,20;3,767;25,0
16,29;1,03;57,61;4,865;25,0
13,40;1,051;59,38;6,283;25,0
10,85;1,089;60,80;8,115;25,0
8,835;1,158;61,58;10,48;25,0
7,285;1,2930000000000001;62,43;13,54;25,0
6,105;1,609;62,62;17,48;25,0
5,068;2,708;62,85;22,58;25,0
4,272;9,935;62,76;29,16;25,0
3,288;1,459;66,67;37,67;25,0
7,306;0,9148;65,01;48,65;25,0
13,82;0,2114;12,53;62,83;25,0
