G'';Tau;G';omega;T
3,845;0,01067;48,42;6,283;25,0
3,487;0,01484;46,68;6,283;25,0
3,526;0,02059;46,35;6,283;25,0
3,967;0,02852;47,07;6,283;25,0
3,751;0,039580000000000004;46,82;6,283;25,0
3,350;0,05487;47,14;6,283;25,0
3,731;0,07596;48,32;6,283;25,0
3,650;0,1052;49,11;6,283;25,0
3,819;0,1457;50,35;6,283;25,01
3,809;0,2019;51,16;6,283;25,01
4,031;0,2798;51,68;6,283;25,01
4,048;0,3882;51,47;6,283;25,01
3,947;0,5384;51,42;6,283;25,01
3,923;0,7465;51,72;6,283;25,02
3,969;1,035;51,67;6,283;25,02
4,167;1,436;51,70;6,283;25,02
4,001;1,99;52,25;6,283;25,03
3,996;2,762;51,83;6,283;25,03
4,045;3,83;51,91;6,283;25,04
3,970;5,313;51,75;6,283;25,04
