G'';Tau;G';omega;T
25,8;0,0106;39,5;6,28;25,1
25,5;0,0147;39,7;6,28;25,1
25,9;0,0203;39,5;6,28;25,1
26,1;0,0282;40,3;6,28;25,1
26,2;0,039;41,1;6,28;25,1
26,5;0,0541;41,4;6,28;25,1
26,3;0,0751;41,4;6,28;25,1
25,9;0,10400000000000001;41,0;6,28;25,1
25,6;0,145;40,4;6,28;25,1
25,9;0,2;40,8;6,28;25,1
26,1;0,278;41,1;6,28;25,1
26,1;0,385;41,3;6,28;25,1
26,5;0,534;41,7;6,28;25,1
26,6;0,741;41,8;6,28;25,1
26,5;1,03;41,9;6,28;25,1
26,7;1,42;42,1;6,28;25,1
26,7;1,97;42,2;6,28;25,1
26,7;2,74;42,2;6,28;25,1
26,7;3,8;42,2;6,28;25,1
26,7;5,27;42,2;6,28;25,1
