G'';Tau;G';omega;T
8,908;0,01065;48,18;6,283;25,0
10,24;0,014780000000000001;47,19;6,283;25,0
10,58;0,02048;47,94;6,283;25,0
10,53;0,02841;47,87;6,283;25,0
10,50;0,03937;48,43;6,283;25,0
10,53;0,05455;49,28;6,283;25,0
10,64;0,07557;50,20;6,283;25,0
10,71;0,1048;50,41;6,283;25,0
10,81;0,1452;51,10;6,283;25,0
10,99;0,2013;51,63;6,283;25,0
11,19;0,2791;51,69;6,283;25,0
11,06;0,3873;51,27;6,283;25,0
10,85;0,5375;50,69;6,283;25,0
10,87;0,7457;50,46;6,283;25,0
10,87;1,034;50,63;6,283;25,0
10,87;1,4340000000000002;50,57;6,283;25,0
10,95;1,9880000000000002;50,85;6,283;25,0
10,94;2,758;50,87;6,283;25,0
10,98;3,825;50,74;6,283;25,0
10,93;5,306;50,69;6,283;25,0
