C:\Users\Public\Documents\Thermo\RheoWin\Data\2018\Karl\Sac 50-2 conj   09.13.48 2018-03-14.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 14.03.2018 / 08:12:37 / HAAKE RheoWin 4.63.0003
Substance / Sample no: Sac 50-2 conj / 

;GP in 1/s;Eta in Pas;omega in rad/s;G' in Pa;G'' in Pa;T in °C;Tau in Pa;
1|1; ; ;6,28;39,5;25,8;25,1;0,0106;
1|2; ; ;6,28;39,7;25,5;25,1;0,0147;
1|3; ; ;6,28;39,5;25,9;25,1;0,0203;
1|4; ; ;6,28;40,3;26,1;25,1;0,0282;
1|5; ; ;6,28;41,1;26,2;25,1;0,0390;
1|6; ; ;6,28;41,4;26,5;25,1;0,0541;
1|7; ; ;6,28;41,4;26,3;25,1;0,0751;
1|8; ; ;6,28;41,0;25,9;25,1;0,104;
1|9; ; ;6,28;40,4;25,6;25,1;0,145;
1|10; ; ;6,28;40,8;25,9;25,1;0,200;
1|11; ; ;6,28;41,1;26,1;25,1;0,278;
1|12; ; ;6,28;41,3;26,1;25,1;0,385;
1|13; ; ;6,28;41,7;26,5;25,1;0,534;
1|14; ; ;6,28;41,8;26,6;25,1;0,741;
1|15; ; ;6,28;41,9;26,5;25,1;1,03;
1|16; ; ;6,28;42,1;26,7;25,1;1,42;
1|17; ; ;6,28;42,2;26,7;25,1;1,97;
1|18; ; ;6,28;42,2;26,7;25,1;2,74;
1|19; ; ;6,28;42,2;26,7;25,1;3,80;
1|20; ; ;6,28;42,2;26,7;25,1;5,27;
2|1; ; ;0,0628;0,0164;0,970;25,1;1,000;
2|2; ; ;0,0811;0,0275;1,25;25,2;1,000;
2|3; ; ;0,105;0,0460;1,61;25,2;1,000;
2|4; ; ;0,135;0,0769;2,08;25,2;1,000;
2|5; ; ;0,175;0,128;2,68;25,2;1,000;
2|6; ; ;0,226;0,212;3,46;25,2;1,000;
2|7; ; ;0,292;0,351;4,45;25,3;1,000;
2|8; ; ;0,377;0,580;5,71;25,3;1,000;
2|9; ; ;0,486;0,956;7,33;25,3;1,000;
2|10; ; ;0,628;1,57;9,35;25,3;1,000;
2|11; ; ;0,811;2,56;11,9;25,3;1,00;
2|12; ; ;1,05;4,13;14,9;25,3;1,00;
2|13; ; ;1,35;6,54;18,3;25,3;1,00;
2|14; ; ;1,75;10,1;21,9;25,3;1,00;
2|15; ; ;2,26;15,0;25,4;25,3;1,01;
2|16; ; ;2,92;21,1;27,9;25,3;1,01;
2|17; ; ;3,77;28,2;29,1;25,3;1,02;
2|18; ; ;4,86;35,3;28,6;25,3;1,03;
2|19; ; ;6,28;41,6;26,5;25,3;1,05;
2|20; ; ;8,11;46,6;23,6;25,3;1,09;
2|21; ; ;10,5;50,6;20,7;25,3;1,17;
2|22; ; ;13,5;53,3;17,8;25,3;1,31;
2|23; ; ;17,5;55,2;15,5;25,3;1,65;
2|24; ; ;22,6;56,7;13,8;25,3;2,71;
2|25; ; ;29,2;57,9;12,5;25,3;3,69;
2|26; ; ;37,7;59,6;11,9;25,3;1,11;
2|27; ; ;48,6;60,5;12,6;25,3;0,978;
2|28; ; ;62,8;56,1;6,81;25,3;0,861;
3|1;0,0000998;32,8; ; ; ;25,3;0,00327;
3|2;0,000136;27,0; ; ; ;25,3;0,00369;
3|3;0,000187;24,3; ; ; ;25,3;0,00453;
3|4;0,000257;22,5; ; ; ;25,3;0,00577;
3|5;0,000350;20,8; ; ; ;25,3;0,00728;
3|6;0,000478;19,9; ; ; ;25,3;0,00949;
3|7;0,000653;18,8; ; ; ;25,3;0,0123;
3|8;0,000896;17,9; ; ; ;25,3;0,0160;
3|9;0,00123;17,2; ; ; ;25,3;0,0211;
3|10;0,00167;17,0; ; ; ;25,3;0,0284;
3|11;0,00229;15,8; ; ; ;25,3;0,0361;
3|12;0,00313;16,4; ; ; ;25,3;0,0512;
3|13;0,00428;15,9; ; ; ;25,3;0,0681;
3|14;0,00585;15,4; ; ; ;25,3;0,0901;
3|15;0,00799;15,4; ; ; ;25,3;0,123;
3|16;0,0109;15,4; ; ; ;25,3;0,169;
3|17;0,0150;15,4; ; ; ;25,3;0,231;
3|18;0,0204;15,4; ; ; ;25,3;0,315;
3|19;0,0280;15,4; ; ; ;25,3;0,430;
3|20;0,0382;15,4; ; ; ;25,3;0,590;
3|21;0,0523;15,4; ; ; ;25,3;0,807;
3|22;0,0715;15,4; ; ; ;25,3;1,10;
3|23;0,0978;15,4; ; ; ;25,3;1,51;
3|24;0,134;15,4; ; ; ;25,3;2,06;
3|25;0,183;15,4; ; ; ;25,3;2,81;
3|26;0,250;15,4; ; ; ;25,3;3,84;
3|27;0,342;15,3; ; ; ;25,3;5,24;
3|28;0,468;15,3; ; ; ;25,3;7,14;
3|29;0,639;15,2; ; ; ;25,3;9,69;
3|30;0,874;15,0; ; ; ;25,3;13,1;
3|31;1,20;14,7; ; ; ;25,3;17,6;
3|32;1,63;14,4; ; ; ;25,2;23,6;
3|33;2,24;13,9; ; ; ;25,1;31,0;
3|34;3,06;12,9; ; ; ;25,0;39,5;
3|35;4,18;11,6; ; ; ;25,0;48,4;
3|36;5,72;9,93; ; ; ;25,0;56,7;
3|37;7,82;8,01; ; ; ;25,0;62,6;
3|38;10,7;6,09; ; ; ;25,0;65,1;
3|39;14,6;4,51; ; ; ;25,0;65,9;
3|40;20,0;3,35; ; ; ;25,0;67,0;
