C:\Users\Karl\Google Drive\Doutorado\Reologia\2018 - Oscilatórios Aprofundados\rwd\2018 02 28\Ur5-2 conjunto   20.45.21 2018-02-28.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 28.02.2018 / 15:15:26 / HAAKE RheoWin 4.63.0003
Substance / Sample no: Ur5-2 conjunto / 

;GP / 1/s;Eta / Pas;omega / rad/s;G' / Pa;G'' / Pa;T / °C;Tau / Pa;
1|1; ; ;6,283;48,18;8,908;25,00;0,01065;
1|2; ; ;6,283;47,19;10,24;25,00;0,01478;
1|3; ; ;6,283;47,94;10,58;25,00;0,02048;
1|4; ; ;6,283;47,87;10,53;25,00;0,02841;
1|5; ; ;6,283;48,43;10,50;25,00;0,03937;
1|6; ; ;6,283;49,28;10,53;25,00;0,05455;
1|7; ; ;6,283;50,20;10,64;25,00;0,07557;
1|8; ; ;6,283;50,41;10,71;25,00;0,1048;
1|9; ; ;6,283;51,10;10,81;25,00;0,1452;
1|10; ; ;6,283;51,63;10,99;25,00;0,2013;
1|11; ; ;6,283;51,69;11,19;25,00;0,2791;
1|12; ; ;6,283;51,27;11,06;25,00;0,3873;
1|13; ; ;6,283;50,69;10,85;25,00;0,5375;
1|14; ; ;6,283;50,46;10,87;25,00;0,7457;
1|15; ; ;6,283;50,63;10,87;25,00;1,034;
1|16; ; ;6,283;50,57;10,87;25,00;1,434;
1|17; ; ;6,283;50,85;10,95;25,00;1,988;
1|18; ; ;6,283;50,87;10,94;25,00;2,758;
1|19; ; ;6,283;50,74;10,98;25,00;3,825;
1|20; ; ;6,283;50,69;10,93;25,00;5,306;
2|1; ; ;0,006283;0,001181;0,2716;25,00;1,0000;
2|2; ; ;0,008115;0,001904;0,3563;25,00;1,0000;
2|3; ; ;0,01048;0,003474;0,4685;25,00;1,0000;
2|4; ; ;0,01354;0,006206;0,6151;25,00;1,0000;
2|5; ; ;0,01748;0,01078;0,8058;25,00;1,0000;
2|6; ; ;0,02258;0,01862;1,053;25,00;1,0000;
2|7; ; ;0,02916;0,03198;1,373;25,00;1,0000;
2|8; ; ;0,03767;0,05451;1,788;25,00;1,0000;
2|9; ; ;0,04865;0,09102;2,322;25,00;1,0000;
2|10; ; ;0,06283;0,1537;3,010;25,00;1,0000;
2|11; ; ;0,08115;0,2564;3,896;25,00;1,0000;
2|12; ; ;0,1048;0,4275;5,033;25,00;1,0000;
2|13; ; ;0,1354;0,7073;6,480;25,00;1,0000;
2|14; ; ;0,1748;1,174;8,342;25,00;1,0000;
2|15; ; ;0,2258;1,921;10,62;25,00;1,0000;
2|16; ; ;0,2916;3,140;13,45;25,00;1,0000;
2|17; ; ;0,3767;5,042;16,79;25,00;1,0000;
2|18; ; ;0,4865;7,974;20,58;25,00;1,000;
2|19; ; ;0,6283;12,14;24,41;25,00;1,000;
2|20; ; ;0,8115;17,82;27,78;25,00;1,001;
2|21; ; ;1,048;24,84;30,19;25,00;1,001;
2|22; ; ;1,354;32,57;30,73;25,00;1,002;
2|23; ; ;1,748;39,84;29,51;25,00;1,003;
2|24; ; ;2,258;46,26;26,88;25,00;1,006;
2|25; ; ;2,916;51,70;23,66;25,00;1,010;
2|26; ; ;3,767;55,20;19,78;25,00;1,018;
2|27; ; ;4,865;57,61;16,29;25,00;1,030;
2|28; ; ;6,283;59,38;13,40;25,00;1,051;
2|29; ; ;8,115;60,80;10,85;25,00;1,089;
2|30; ; ;10,48;61,58;8,835;25,00;1,158;
2|31; ; ;13,54;62,43;7,285;25,00;1,293;
2|32; ; ;17,48;62,62;6,105;25,00;1,609;
2|33; ; ;22,58;62,85;5,068;25,00;2,708;
2|34; ; ;29,16;62,76;4,272;25,00;9,935;
2|35; ; ;37,67;66,67;3,288;25,00;1,459;
2|36; ; ;48,65;65,01;7,306;25,00;0,9148;
2|37; ; ;62,83;12,53;13,82;25,00;0,2114;
3|1;0,0001000;25,26; ; ; ;25,00;0,002526;
3|2;0,0001372;30,02; ; ; ;25,00;0,004121;
3|3;0,0001871;35,42; ; ; ;25,00;0,006628;
3|4;0,0002557;44,10; ; ; ;25,00;0,01128;
3|5;0,0003486;43,40; ; ; ;25,00;0,01513;
3|6;0,0004768;42,89; ; ; ;25,00;0,02045;
3|7;0,0006524;43,55; ; ; ;25,00;0,02841;
3|8;0,0008916;44,99; ; ; ;25,00;0,04011;
3|9;0,001224;44,88; ; ; ;25,00;0,05491;
3|10;0,001665;48,04; ; ; ;25,00;0,08000;
3|11;0,002293;47,37; ; ; ;25,00;0,1086;
3|12;0,003111;47,98; ; ; ;25,00;0,1493;
3|13;0,004291;48,79; ; ; ;25,00;0,2094;
3|14;0,005831;48,49; ; ; ;25,00;0,2827;
3|15;0,008004;48,75; ; ; ;25,00;0,3902;
3|16;0,01095;48,95; ; ; ;25,00;0,5360;
3|17;0,01496;49,27; ; ; ;25,00;0,7370;
3|18;0,02046;49,45; ; ; ;25,00;1,012;
3|19;0,02797;49,62; ; ; ;25,00;1,388;
3|20;0,03823;49,74; ; ; ;25,00;1,902;
3|21;0,05230;49,55; ; ; ;25,00;2,592;
3|22;0,07151;49,72; ; ; ;25,00;3,556;
3|23;0,09779;49,36; ; ; ;25,00;4,827;
3|24;0,1337;49,37; ; ; ;25,00;6,602;
3|25;0,1829;49,07; ; ; ;25,00;8,974;
3|26;0,2501;48,62; ; ; ;25,00;12,16;
