C:\Users\Karl\Desktop\_Medidas\2017 11 21\Ariane conceicao 9hh00  15.56.08 2017-11-21.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 21.11.2017 / 15:46:05 / HAAKE RheoWin 4.63.0003
Substance / Sample no: Ariane conceicao 9hh00 / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;67,85;7,276;1,000;6,283;7,241;2,059;7,528;1,198;
1|2;72,58;12,00;1,000;6,283;7,054;1,918;7,310;1,163;
1|3;77,44;16,86;1,000;6,283;7,076;1,902;7,327;1,166;
1|4;83,17;22,60;1,000;6,283;6,990;1,898;7,243;1,153;
1|5;87,95;27,37;1,000;6,283;6,933;1,855;7,177;1,142;
1|6;92,81;32,23;1,000;6,283;6,865;1,835;7,106;1,131;
1|7;97,56;36,99;1,000;6,283;6,791;1,845;7,037;1,120;
1|8;102,3;41,69;1,000;6,283;6,629;1,834;6,878;1,095;
1|9;107,0;46,43;1,000;6,283;6,350;1,818;6,605;1,051;
1|10;111,8;51,22;1,000;6,283;5,956;1,794;6,220;0,9900;
2|1;152,9;40,40;0,1000;0,6283;4,329;1,466;4,570;7,274;
2|2;180,9;68,42;0,1468;0,9222;4,708;1,475;4,933;5,349;
2|3;200,3;87,87;0,2154;1,354;5,056;1,500;5,274;3,896;
2|4;213,8;101,3;0,3162;1,987;5,398;1,550;5,616;2,827;
2|5;223,3;110,8;0,4642;2,916;5,739;1,602;5,959;2,043;
2|6;229,9;117,4;0,6813;4,281;6,083;1,661;6,306;1,473;
2|7;237,7;125,2;1,000;6,283;6,460;1,748;6,692;1,065;
2|8;244,7;132,2;1,468;9,222;6,782;1,870;7,035;0,7628;
2|9;251,2;138,7;2,154;13,54;7,524;2,025;7,791;0,5756;
2|10;257,2;144,7;3,162;19,87;8,669;2,750;9,095;0,4577;
2|11;262,4;149,9;4,642;29,16;9,292;2,752;9,691;0,3323;
3|1;296,1;33,00; ; ; ; ; ; ;
3|2;329,3;66,17; ; ; ; ; ; ;
3|3;362,4;99,31; ; ; ; ; ; ;
3|4;395,6;132,5; ; ; ; ; ; ;
3|5;428,7;165,6; ; ; ; ; ; ;
3|6;461,9;198,8; ; ; ; ; ; ;
3|7;495,1;232,0; ; ; ; ; ; ;
3|8;528,2;265,1; ; ; ; ; ; ;
3|9;561,4;298,3; ; ; ; ; ; ;
3|10;594,6;331,4; ; ; ; ; ; ;
