C:\Users\Karl\Desktop\_Medidas\2017 12 05\Ariane Conceicao 9h10  14.12.15 2017-12-05.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 05.12.2017 / 14:02:14 / HAAKE RheoWin 4.30.0021
Substance / Sample no: Ariane Conceicao 9h10 / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;65,50;4,407;1,000;6,283;1,937;0,7594;2,081;0,3312;
1|2;70,80;9,702;1,000;6,283;1,909;0,7733;2,060;0,3278;
1|3;76,22;15,13;1,000;6,283;1,857;0,7801;2,014;0,3206;
1|4;81,64;20,55;1,000;6,283;1,791;0,7809;1,954;0,3110;
1|5;87,05;25,95;1,000;6,283;1,717;0,7754;1,884;0,2998;
1|6;92,60;31,50;1,000;6,283;1,645;0,7737;1,817;0,2893;
1|7;97,99;36,89;1,000;6,283;1,516;0,7462;1,689;0,2689;
1|8;103,4;42,33;1,000;6,283;1,398;0,7175;1,572;0,2501;
1|9;108,9;47,78;1,000;6,283;1,265;0,6841;1,438;0,2289;
1|10;114,3;53,16;1,000;6,283;1,137;0,6356;1,303;0,2073;
2|1;156,1;40,41;0,1000;0,6283;0,8115;0,5333;0,9711;1,545;
2|2;188,9;73,14;0,1468;0,9222;1,073;0,5877;1,223;1,326;
2|3;211,3;95,52;0,2154;1,354;1,263;0,6292;1,411;1,043;
2|4;226,8;111,0;0,3162;1,987;1,439;0,6736;1,589;0,7998;
2|5;237,5;121,8;0,4642;2,916;1,597;0,7285;1,755;0,6017;
2|6;244,6;128,9;0,6813;4,281;1,719;0,7899;1,891;0,4419;
2|7;249,9;134,2;1,000;6,283;2,055;0,8836;2,237;0,3560;
2|8;253,9;138,1;1,468;9,222;2,638;0,5443;2,694;0,2921;
2|9;256,8;141,0;2,154;13,54;2,643;0,2891;2,659;0,1964;
2|10;258,9;143,2;3,162;19,87;3,044;2,241;3,780;0,1902;
2|11;260,7;144,9;4,642;29,16;0,07396;1,993;1,994;0,06838;
3|1;294,7;33,14; ; ; ; ; ; ;
3|2;327,9;66,33; ; ; ; ; ; ;
3|3;361,0;99,47; ; ; ; ; ; ;
3|4;394,1;132,6; ; ; ; ; ; ;
3|5;427,3;165,8; ; ; ; ; ; ;
3|6;460,4;198,8; ; ; ; ; ; ;
3|7;493,5;232,0; ; ; ; ; ; ;
3|8;526,6;265,1; ; ; ; ; ; ;
3|9;559,8;298,2; ; ; ; ; ; ;
3|10;592,9;331,4; ; ; ; ; ; ;
