C:\Users\Karl\Desktop\_Medidas\2017 12 05\jane doe 9h40  12.59.43 2017-12-05.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 05.12.2017 / 12:49:33 / HAAKE RheoWin 4.30.0021
Substance / Sample no: jane doe 9h40 / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;72,22;4,392;1,000;6,283;1,883;0,6340;1,987;0,3163;
1|2;77,53;9,703;1,000;6,283;1,844;0,6312;1,949;0,3102;
1|3;82,95;15,13;1,000;6,283;1,805;0,6384;1,915;0,3048;
1|4;88,31;20,48;1,000;6,283;1,753;0,6411;1,867;0,2971;
1|5;93,75;25,92;1,000;6,283;1,698;0,6441;1,816;0,2890;
1|6;99,16;31,33;1,000;6,283;1,627;0,6355;1,747;0,2781;
1|7;104,6;36,78;1,000;6,283;1,547;0,6230;1,667;0,2654;
1|8;110,0;42,20;1,000;6,283;1,458;0,6044;1,579;0,2512;
1|9;115,5;47,66;1,000;6,283;1,366;0,5793;1,484;0,2361;
1|10;120,9;53,06;1,000;6,283;1,283;0,5281;1,387;0,2208;
2|1;162,7;40,36;0,1000;0,6283;0,9149;0,4312;1,011;1,610;
2|2;195,4;73,07;0,1468;0,9222;1,097;0,4797;1,197;1,298;
2|3;217,9;95,55;0,2154;1,354;1,251;0,5247;1,356;1,002;
2|4;233,4;111,0;0,3162;1,987;1,395;0,5700;1,507;0,7585;
2|5;244,1;121,7;0,4642;2,916;1,531;0,6247;1,653;0,5670;
2|6;251,2;128,9;0,6813;4,281;1,632;0,6865;1,770;0,4135;
2|7;256,5;134,2;1,000;6,283;1,949;0,7661;2,094;0,3332;
2|8;260,5;138,1;1,468;9,222;2,558;0,08794;2,559;0,2775;
2|9;263,4;141,0;2,154;13,54;2,435;0,2742;2,450;0,1810;
2|10;265,5;143,2;3,162;19,87;2,414;1,036;2,627;0,1322;
2|11;267,3;144,9;4,642;29,16;0,1967;5,881;5,884;0,2018;
3|1;301,3;33,10; ; ; ; ; ; ;
3|2;334,5;66,25; ; ; ; ; ; ;
3|3;367,6;99,36; ; ; ; ; ; ;
3|4;400,7;132,5; ; ; ; ; ; ;
3|5;433,9;165,7; ; ; ; ; ; ;
3|6;467,1;198,9; ; ; ; ; ; ;
3|7;500,2;232,0; ; ; ; ; ; ;
3|8;533,3;265,1; ; ; ; ; ; ;
3|9;566,5;298,2; ; ; ; ; ; ;
3|10;599,6;331,4; ; ; ; ; ; ;
