C:\Users\Karl\Desktop\_Medidas\reexport\Ariane Conceição 10h  08.22.51.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 26.10.2017 / 08:08:43 / HAAKE RheoWin 4.63.0003
Substance / Sample no: Ariane Conceição 10h / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;307,9;7,274;1,000;6,283;1,069;0,4159;1,147;0,1826;
1|2;312,6;12,00;1,000;6,283;1,223;0,04261;1,224;0,1948;
1|3;317,5;16,86;1,000;6,283;1,152;0,1398;1,161;0,1847;
1|4;322,2;21,57;1,000;6,283;1,175;0,03909;1,175;0,1870;
1|5;326,9;26,26;1,000;6,283;1,138;0,06605;1,140;0,1814;
1|6;331,5;30,94;1,000;6,283;1,110;0,03999;1,111;0,1768;
1|7;336,3;35,65;1,000;6,283;1,064;0,0003437;1,064;0,1693;
1|8;341,0;40,35;1,000;6,283;1,002;0,006682;1,002;0,1594;
1|9;345,7;45,11;1,000;6,283;0,9480;0,1364;0,9578;0,1524;
1|10;350,6;49,96;1,000;6,283;0,8459;0,07011;0,8488;0,1351;
2|1;391,5;40,36;0,1000;0,6283;0,4852;0,2056;0,5269;0,8386;
2|2;419,5;68,37;0,1468;0,9222;0,5487;0,2179;0,5904;0,6402;
2|3;438,8;87,71;0,2154;1,354;0,5955;0,2277;0,6375;0,4710;
2|4;452,3;101,2;0,3162;1,987;0,6292;0,2326;0,6708;0,3376;
2|5;461,8;110,7;0,4642;2,916;0,6732;0,2672;0,7243;0,2484;
2|6;468,4;117,3;0,6813;4,281;0,8374;0,2422;0,8717;0,2036;
2|7;476,1;125,0;1,000;6,283;1,056;0,3950;1,128;0,1795;
2|8;483,7;132,6;1,468;9,222;1,280;0,5967;1,412;0,1531;
2|9;491,0;139,9;2,154;13,54;1,181;0,1187;1,187;0,08767;
2|10;496,1;145,0;3,162;19,87;0,6376;0,5737;0,8577;0,04317;
2|11;501,7;150,6;4,642;29,16;3,814;1,272;4,021;0,1379;
3|1;535,2;33,01; ; ; ; ; ; ;
3|2;568,3;66,14; ; ; ; ; ; ;
3|3;601,5;99,33; ; ; ; ; ; ;
3|4;634,7;132,5; ; ; ; ; ; ;
3|5;667,9;165,7; ; ; ; ; ; ;
3|6;701,1;198,9; ; ; ; ; ; ;
3|7;734,2;232,0; ; ; ; ; ; ;
3|8;767,4;265,2; ; ; ; ; ; ;
3|9;800,5;298,3; ; ; ; ; ; ;
3|10;833,7;331,5; ; ; ; ; ; ;
