C:\Users\Karl\Desktop\_Medidas\2017 11 07\jane doe 10h  14.16.05 2017-11-07.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 07.11.2017 / 14:06:00 / HAAKE RheoWin 4.63.0003
Substance / Sample no: jane doe 10h / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;67,89;7,237;1,000;6,283;4,668;1,293;4,844;0,7709;
1|2;72,76;12,10;1,000;6,283;4,633;1,275;4,805;0,7648;
1|3;77,52;16,87;1,000;6,283;4,629;1,281;4,803;0,7645;
1|4;82,26;21,61;1,000;6,283;4,565;1,255;4,734;0,7535;
1|5;87,02;26,36;1,000;6,283;4,491;1,258;4,663;0,7422;
1|6;91,69;31,03;1,000;6,283;4,351;1,244;4,525;0,7202;
1|7;96,40;35,75;1,000;6,283;4,175;1,252;4,359;0,6938;
1|8;101,1;40,48;1,000;6,283;3,897;1,241;4,089;0,6508;
1|9;106,9;46,26;1,000;6,283;3,459;1,155;3,647;0,5805;
1|10;111,6;50,99;1,000;6,283;3,041;1,127;3,243;0,5161;
2|1;152,7;40,39;0,1000;0,6283;2,684;1,012;2,868;4,565;
2|2;180,7;68,39;0,1468;0,9222;3,077;1,041;3,248;3,522;
2|3;200,2;87,83;0,2154;1,354;3,360;1,063;3,525;2,604;
2|4;213,6;101,3;0,3162;1,987;3,627;1,091;3,787;1,906;
2|5;223,1;110,8;0,4642;2,916;3,895;1,126;4,054;1,390;
2|6;229,7;117,4;0,6813;4,281;4,162;1,186;4,327;1,011;
2|7;237,5;125,2;1,000;6,283;4,304;1,218;4,473;0,7119;
2|8;245,1;132,8;1,468;9,222;4,730;1,299;4,905;0,5319;
2|9;251,1;138,7;2,154;13,54;5,295;1,464;5,493;0,4058;
2|10;256,8;144,5;3,162;19,87;4,884;1,889;5,237;0,2636;
2|11;262,2;149,9;4,642;29,16;4,189;0,7699;4,259;0,1460;
3|1;295,9;33,00; ; ; ; ; ; ;
3|2;329,1;66,16; ; ; ; ; ; ;
3|3;362,2;99,32; ; ; ; ; ; ;
3|4;395,4;132,5; ; ; ; ; ; ;
3|5;428,5;165,6; ; ; ; ; ; ;
3|6;461,7;198,8; ; ; ; ; ; ;
3|7;494,8;231,9; ; ; ; ; ; ;
3|8;528,0;265,1; ; ; ; ; ; ;
3|9;561,1;298,2; ; ; ; ; ; ;
3|10;594,3;331,4; ; ; ; ; ; ;
