C:\Users\Karl\Desktop\_Medidas\2017 11 21\Ariane conceicao 10h00  15.19.39 2017-11-21.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 21.11.2017 / 15:05:31 / HAAKE RheoWin 4.63.0003
Substance / Sample no: Ariane conceicao 10h00 / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;307,9;7,247;1,000;6,283;5,228;1,393;5,411;0,8611;
1|2;312,6;12,00;1,000;6,283;5,220;1,351;5,392;0,8582;
1|3;317,3;16,73;1,000;6,283;5,233;1,318;5,396;0,8589;
1|4;322,1;21,47;1,000;6,283;5,188;1,302;5,348;0,8512;
1|5;326,8;26,17;1,000;6,283;5,139;1,293;5,300;0,8435;
1|6;331,6;30,97;1,000;6,283;5,034;1,312;5,202;0,8279;
1|7;336,4;35,77;1,000;6,283;4,865;1,287;5,033;0,8010;
1|8;341,1;40,48;1,000;6,283;4,640;1,298;4,819;0,7669;
1|9;345,8;45,18;1,000;6,283;4,273;1,265;4,456;0,7092;
1|10;350,5;49,92;1,000;6,283;3,860;1,223;4,050;0,6445;
2|1;391,5;40,37;0,1000;0,6283;3,216;1,164;3,421;5,444;
2|2;419,5;68,40;0,1468;0,9222;3,655;1,145;3,830;4,153;
2|3;438,8;87,73;0,2154;1,354;3,973;1,155;4,138;3,057;
2|4;452,3;101,2;0,3162;1,987;4,269;1,181;4,429;2,229;
2|5;461,8;110,6;0,4642;2,916;4,560;1,220;4,720;1,619;
2|6;468,3;117,2;0,6813;4,281;4,836;1,284;5,003;1,169;
2|7;476,1;125,0;1,000;6,283;5,015;1,308;5,183;0,8249;
2|8;483,8;132,7;1,468;9,222;5,286;1,399;5,468;0,5929;
2|9;490,8;139,7;2,154;13,54;5,839;1,752;6,096;0,4503;
2|10;496,6;145,5;3,162;19,87;5,874;1,577;6,082;0,3061;
2|11;501,5;150,4;4,642;29,16;5,940;2,293;6,367;0,2183;
3|1;535,1;33,01; ; ; ; ; ; ;
3|2;568,2;66,16; ; ; ; ; ; ;
3|3;601,4;99,35; ; ; ; ; ; ;
3|4;634,6;132,5; ; ; ; ; ; ;
3|5;667,8;165,7; ; ; ; ; ; ;
3|6;700,9;198,9; ; ; ; ; ; ;
3|7;734,1;232,1; ; ; ; ; ; ;
3|8;767,2;265,2; ; ; ; ; ; ;
3|9;800,4;298,4; ; ; ; ; ; ;
3|10;833,6;331,5; ; ; ; ; ; ;
