C:\Users\Karl\Desktop\_Medidas\reexport\jane doe 10h30  09.14.47.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 26.10.2017 / 09:04:33 / HAAKE RheoWin 4.63.0003
Substance / Sample no: jane doe 10h30 / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;67,87;7,243;1,000;6,283;4,294;1,049;4,420;0,7035;
1|2;72,62;12,00;1,000;6,283;4,215;1,006;4,333;0,6897;
1|3;77,50;16,87;1,000;6,283;4,199;1,026;4,322;0,6879;
1|4;82,22;21,59;1,000;6,283;4,143;0,9887;4,259;0,6779;
1|5;86,95;26,32;1,000;6,283;4,079;0,9937;4,198;0,6681;
1|6;91,68;31,05;1,000;6,283;4,005;0,9982;4,127;0,6569;
1|7;96,39;35,76;1,000;6,283;3,859;1,017;3,991;0,6351;
1|8;101,1;40,46;1,000;6,283;3,667;1,026;3,807;0,6060;
1|9;105,8;45,17;1,000;6,283;3,386;1,027;3,538;0,5631;
1|10;110,6;50,00;1,000;6,283;3,098;0,9804;3,249;0,5171;
2|1;151,6;40,41;0,1000;0,6283;2,600;0,8516;2,736;4,354;
2|2;179,6;68,47;0,1468;0,9222;2,889;0,8447;3,010;3,264;
2|3;199,0;87,84;0,2154;1,354;3,106;0,8511;3,221;2,379;
2|4;212,6;101,4;0,3162;1,987;3,317;0,8575;3,426;1,724;
2|5;222,1;110,9;0,4642;2,916;3,515;0,8722;3,622;1,242;
2|6;228,7;117,5;0,6813;4,281;3,763;0,9135;3,872;0,9046;
2|7;236,4;125,2;1,000;6,283;3,855;0,9441;3,969;0,6316;
2|8;243,3;132,1;1,468;9,222;4,249;1,005;4,366;0,4734;
2|9;250,5;139,4;2,154;13,54;4,676;1,054;4,793;0,3541;
2|10;256,2;145,0;3,162;19,87;6,972;1,879;7,221;0,3634;
2|11;261,9;150,7;4,642;29,16;4,845;1,458;5,060;0,1735;
3|1;295,5;33,01; ; ; ; ; ; ;
3|2;328,6;66,17; ; ; ; ; ; ;
3|3;361,8;99,32; ; ; ; ; ; ;
3|4;394,9;132,5; ; ; ; ; ; ;
3|5;428,1;165,6; ; ; ; ; ; ;
3|6;461,3;198,8; ; ; ; ; ; ;
3|7;494,4;232,0; ; ; ; ; ; ;
3|8;527,6;265,1; ; ; ; ; ; ;
3|9;560,7;298,2; ; ; ; ; ; ;
3|10;593,9;331,4; ; ; ; ; ; ;
